Segmento,Categoría KPI,Participantes,Cumplimiento %,Puntos Ganados
TSP,CLIENTES COMPRAN,514,105.07,1482850
TSP,SELL OUT,514,129.43,633600
TSP,INNOVACIONES,429,161.69,608200
TSP,Otros,381,0.29,0
ELITE,SELL OUT,82,95.66,220000
ELITE,CLIENTES COMPRAN,82,93.83,178600
ELITE,INNOVACIONES,35,97.75,17700
ELITE,Otros,68,41.37,0
DSD,CLIENTES COMPRAN,69,80.16,46300
DSD,SELL OUT,67,90.58,44700
DSD,INNOVACIONES,68,32.01,5200
DSD,Otros,1,33.66,0
