#,Premio,Categoría,Costo Unitario USD,Puntos,Veces Canjeado,Costo Total USD
1,Portátil,Computadoras,560,9497,7,2508.19
2,Refrigeradora,Hogar,550,7607,5,1680
3,Consola,Hobbies,536,7227,1,536
4,Lavadora,Hogar,413,5569,6,1804
5,Cama,Hogar,394,5091,1,394
6,Aire Acondicionado,Hogar,361,7736,6,1722
7,Celular,Celulares,355,7290,168,17534.059999999998
8,Smart Tv,Tecnología,340,7286,45,10334
9,Parlante,Tecnología,330,6777,59,2336.08
10,Colchón,Hogar,261,5360,7,1230.48
